Date_received,S_num,E_num,I_num,count,mean_CopyPerML,sd_CopyPerML
2023-02-27,44,2,0,46,0.10704505973392067,0.01220240140150827
2023-04-12,39,1,0,40,0.1,0
2023-06-07,56,4,0,60,0.9025389565361868,0.25584185108600255
2023-08-02,50,1,0,51,0.1,0
2023-10-03,56,4,0,60,0.14225889709260733,0.07319455683622061
2023-12-12,46,6,2,54,0.1,0
2024-02-13,46,2,0,48,0.20157297187381334,0.06531422690638966
2024-04-10,37,1,0,38,0.7926373534732403,1.1279024313431734
2024-06-24,52,2,1,55,0.1,0
2024-08-21,53,1,0,54,0.11147929297553166,0.019882718668589348
2024-10-15,54,0,0,54,0.1,0
2024-12-09,52,2,0,54,0.17576918469534977,0.131236077540416
